pricePerNight,nbChambres,city,zipCode,nbSallesDeBain,Date,piscine,id
405,6,la rochelle,,3,21/07/2020,False,5292216
857,6,la couarde sur mer,,3,21/07/2020,False,40408890
421,3,sainte marie de re,,1,21/07/2020,False,15862832
"1,145",5,,,4,21/07/2020,False,33548662
311,3,la rochelle,,,21/07/2020,False,2050360
428,4,,,,21/07/2020,False,31452798
778,3,le bois plage en re,,,21/07/2020,False,39211506
"1,420",6,rivedoux plage,,5,21/07/2020,False,24168343
702,5,rivedoux plage,,5,21/07/2020,False,6817965
421,3,sainte marie de re,,1,21/07/2020,False,15862832
784,4,le bois plage en re,,4,21/07/2020,False,16119700
687,5,rivedoux plage,,3,21/07/2020,False,40771751
544,3,la couarde sur mer,,,21/07/2020,False,1275210
207,2,l houmeau,,1,21/07/2020,False,25839222
366,3,,,1,21/07/2020,False,31563031
490,5,sainte marie de re,,3,28/07/2020,False,15000319
622,3,le bois plage en re,,,28/07/2020,False,15844141
720,4,le bois plage en re,,,28/07/2020,False,13507125
538,5,sainte marie de re,,5,28/07/2020,False,28240132
570,4,sainte marie de re,,,28/07/2020,False,24593561
585,3,sainte marie de re,,,28/07/2020,False,35341885
548,3,sainte marie de re,,,28/07/2020,False,3232178
277,3,rivedoux plage,,1,28/07/2020,False,41807117
835,4,rivedoux plage,,3,28/07/2020,False,42881478
761,5,sainte marie de re,,,28/07/2020,False,36513210
277,3,rivedoux plage,,1,28/07/2020,False,42885442
674,5,loix,,5,28/07/2020,False,16119699
583,3,la flotte,,,28/07/2020,False,19716374
277,3,rivedoux plage,,1,28/07/2020,False,42725522
277,3,rivedoux plage,,1,28/07/2020,False,42216319
789,6,la couarde sur mer,,3,28/07/2020,False,40408890
486,5,sainte marie de re,,3,28/07/2020,False,26373652
735,6,rivedoux plage,,3,28/07/2020,False,4945576
702,5,rivedoux plage,,5,28/07/2020,False,6817965
421,3,sainte marie de re,,1,28/07/2020,False,15862832
778,3,le bois plage en re,,,28/07/2020,False,39211506
544,3,la couarde sur mer,,,28/07/2020,False,1275210
784,4,le bois plage en re,,4,28/07/2020,False,16119700
807,5,rivedoux plage,,3,28/07/2020,False,40771751
548,3,sainte marie de re,,,04/08/2020,False,3232178
575,3,rivedoux plage,,3,04/08/2020,False,33343343
547,5,sainte marie de re,,5,04/08/2020,False,28240132
720,4,le bois plage en re,,,04/08/2020,False,13507125
570,4,sainte marie de re,,,04/08/2020,False,24593561
563,4,rivedoux plage,,,04/08/2020,False,13397150
599,7,nieul sur mer,,4,04/08/2020,False,20636522
715,3,le bois plage en re,,,04/08/2020,False,15844141
